instrument,symbol,expiry,expiry_dt_final,strike,option_type,open,high,low,close,settle_pr,volume,val_inlakh,open_int,chg_in_oi,timestamp
FUTSTK,OBEROIRLTY,27-Jan-2026,2026-01-27,,,1663.4,1664.9,1620.8,1629.4,1629.4,58,332.0835,73850,7350,2025-12-01
FUTSTK,OBEROIRLTY,24-Feb-2026,2026-02-24,,,1644.0,1644.0,1629.6,1632.0,1632.0,8,45.76215,5250,2800,2025-12-01
FUTSTK,OBEROIRLTY,30-Dec-2025,2025-12-30,,,1660.4,1666.0,1616.0,1622.4,1622.4,2018,11528.5166,4368350,127400,2025-12-01
FUTSTK,ONGC,30-Dec-2025,2025-12-30,,,245.05,247.0,244.58,245.74,245.75,2680,14818.7367,91410750,-240750,2025-12-01
FUTSTK,ONGC,24-Feb-2026,2026-02-24,,,247.8,248.0,246.4,247.12,248.15,16,88.946325,114750,9000,2025-12-01
FUTSTK,ONGC,27-Jan-2026,2026-01-27,,,246.54,248.6,245.96,247.36,247.35,179,995.90715,1707750,101250,2025-12-01
FUTSTK,PNB,27-Jan-2026,2026-01-27,,,127.05,127.95,126.35,126.9,126.9,431,4378.4904,8112000,88000,2025-12-01
FUTSTK,PNB,30-Dec-2025,2025-12-30,,,125.79,127.23,125.5,126.01,126.01,5786,58469.9136,207520000,2560000,2025-12-01
FUTSTK,PNB,24-Feb-2026,2026-02-24,,,128.01,128.69,127.1,127.6,127.6,126,1287.512,1000000,160000,2025-12-01
FUTSTK,POWERGRID,30-Dec-2025,2025-12-30,,,272.7,273.3,269.95,271.05,271.05,2491,12860.0531,70655300,837900,2025-12-01
FUTSTK,POWERGRID,24-Feb-2026,2026-02-24,,,272.6,273.35,271.05,271.6,271.6,46,237.8857,201400,49400,2025-12-01
FUTSTK,POWERGRID,27-Jan-2026,2026-01-27,,,273.8,274.9,272.1,272.8,272.8,275,1428.82945,2354100,233700,2025-12-01
FUTSTK,SONACOMS,30-Dec-2025,2025-12-30,,,514.3,517.5,508.25,511.75,511.75,1085,5835.92677,13707750,24150,2025-12-01
FUTSTK,SONACOMS,27-Jan-2026,2026-01-27,,,519.75,520.1,512.0,515.7,515.7,44,278.074387,147000,18375,2025-12-01
FUTSTK,SONACOMS,24-Feb-2026,2026-02-24,,,522.0,522.0,514.15,517.3,515.6,12,76.1208875,19600,4900,2025-12-01
FUTSTK,AXISBANK,30-Dec-2025,2025-12-30,,,1293.1,1294.8,1274.8,1281.2,1281.2,7754,62192.5137,70409375,-532500,2025-12-01
FUTSTK,AXISBANK,24-Feb-2026,2026-02-24,,,1307.1,1307.5,1291.6,1295.7,1292.9,38,308.5275,47500,5625,2025-12-01
FUTSTK,AXISBANK,27-Jan-2026,2026-01-27,,,1301.1,1302.0,1283.1,1289.6,1289.6,381,3078.17875,888125,100000,2025-12-01
FUTSTK,ETERNAL,27-Jan-2026,2026-01-27,,,305.05,309.0,304.45,305.35,305.35,413,3066.8781,4830600,266750,2025-12-01
FUTSTK,ETERNAL,30-Dec-2025,2025-12-30,,,303.0,307.3,302.45,303.5,303.5,5241,38696.7204,287318850,2728125,2025-12-01
FUTSTK,ETERNAL,24-Feb-2026,2026-02-24,,,307.55,310.5,306.55,306.95,306.95,130,971.11065,392850,247350,2025-12-01
FUTSTK,HINDPETRO,24-Feb-2026,2026-02-24,,,460.0,461.7,457.2,457.35,457.35,11,102.344512,145800,-2025,2025-12-01
FUTSTK,HINDPETRO,27-Jan-2026,2026-01-27,,,462.65,464.9,455.1,457.65,457.65,66,614.48625,696600,0,2025-12-01
FUTSTK,HINDPETRO,30-Dec-2025,2025-12-30,,,461.4,462.65,452.15,454.55,454.55,2039,18855.6396,41265450,731025,2025-12-01
FUTSTK,IDFCFIRSTB,30-Dec-2025,2025-12-30,,,80.58,81.48,80.38,80.97,80.97,3717,27911.2046,343249200,-2328025,2025-12-01
FUTSTK,IDFCFIRSTB,24-Feb-2026,2026-02-24,,,81.92,82.4,81.6,81.95,81.95,25,190.220047,463750,111300,2025-12-01
FUTSTK,IDFCFIRSTB,27-Jan-2026,2026-01-27,,,81.31,81.95,81.0,81.49,81.49,226,1708.56815,19087950,157675,2025-12-01
FUTSTK,LODHA,30-Dec-2025,2025-12-30,,,1156.2,1160.8,1133.0,1135.7,1135.7,1885,9715.04775,10294200,-91800,2025-12-01
FUTSTK,LODHA,24-Feb-2026,2026-02-24,,,1171.2,1175.6,1146.4,1148.4,1148.4,26,135.12645,17100,6300,2025-12-01
